district,area,chamber,market,building,floor,building_floors,construction_year,standard,property,window,heating,url,rent,price
 Mokotów,94.0,3,wtórny,,0.0,5.0,2007.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-94-m-warszawa-ID3m1Gi.html#25d7a34f39,,1430000.0
 Mokotów,139.0,5,wtórny,,6.0,,2009.0,,,,,https://www.otodom.pl/oferta/bezposrednio-cudowny-apartament-ID3m2nH.html#25d7a34f39,,2498000.0
 Mokotów,114.72,5,wtórny,,,,,,,,,https://www.otodom.pl/oferta/mieszkanie-na-mokotowie-w-doskonalej-lokalizacji-ID3m2ok.html#25d7a34f39,,1697856.0
 Mokotów,145.11,5,wtórny,,,,,,,,,https://www.otodom.pl/oferta/sulkowicka-2-bardzo-luksusowy-budynek-bezposrednio-ID3m2nZ.html#25d7a34f39,,2176650.0
 Śródmieście,171.54,5,wtórny,blok,4.0,12.0,2001.0,,,drewniane,,https://www.otodom.pl/oferta/mieszkanie-171-54-m-warszawa-ID3aPIQ.html#25d7a34f39,,2400000.0
 Wola,184.0,5,pierwotny,blok,9.0,9.0,2019.0,do wykończenia,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/gotowe184-m2-z-ogrodem-tarasem-i-loggia-37-m2-ID3kW8q.html#19c7728aff,,1838000.0
 Wola,21.0,1,pierwotny,blok,6.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-kasprzakametrowidok-na-centrum-klimatyzacja-ID3lJ9M.html#25d7a34f39,,221000.0
 Mokotów,98.36,4,wtórny,,,,,,,,,https://www.otodom.pl/oferta/mieszkanie-doskonala-lokalizacja-mokotow-ID3m2ov.html#25d7a34f39,,1455728.0
 Wola,79.0,4,pierwotny,blok,5.0,,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowa-inwestycjasuper-cenyod-8100-m2-ID36PXV.html#19c7728aff,170.0,705000.0
 Wola,67.0,3,pierwotny,blok,6.0,12.0,2018.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-apartamenty-z-widokiem-na-centrum-warszawy-ID34S1s.html#19c7728aff,400.0,597000.0
 Bemowo,82.32,3,pierwotny,blok,2.0,4.0,2018.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/przestronne-mieszkanie-3-pokojowe-82-20-m2-a69-ID3oZ9u.html#19c7728aff,,
 Wola,86.0,4,pierwotny,blok,5.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolasuper-cenymetro-ul-kasprzaka-ID3kWbC.html#19c7728aff,,736000.0
 Białołęka,54.0,3,pierwotny,blok,3.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkania-wola-tarchomin-bialoleka-ID3mRvD.html#19c7728aff,,372000.0
 Białołęka,26.0,1,pierwotny,blok,2.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/nowy-etapwola-bialoleka-tarchomin-pruszkow-ID3eYZK.html#19c7728aff,210.0,234000.0
 Białołęka,40.0,2,pierwotny,blok,1.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/nowy-etapwola-tarchomin-bialoleka-pruszkow-ID3i1hE.html#19c7728aff,210.0,330000.0
 Białołęka,54.0,3,pierwotny,blok,0.0,3.0,2018.0,,pełna własność,,,https://www.otodom.pl/oferta/bialolekagotowe-3-pokoje-386-tys-pilnie-ID39GX2.html#19c7728aff,,386000.0
 Białołęka,29.4,1,pierwotny,blok,2.0,2.0,2017.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/okazja-kawalerka-w-niskiej-cenie-ID3oBhu.html#19c7728aff,,206000.0
 Wola,65.0,3,pierwotny,blok,6.0,8.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/tylko-8500-pln-za-m2nowe-mieszkania-na-woli-ID3qdRi.html#19c7728aff,450.0,650000.0
 Praga-Południe,94.0,3,wtórny,blok,2.0,4.0,2002.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-94-m-warszawa-ID3plwi.html#19c7728aff,860.0,630000.0
 Wola,20.0,1,pierwotny,blok,11.0,27.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/wolazamieszkaj-lub-inwestuj-w-apartamenty-ID36y3G.html#19c7728aff,350.0,280000.0
 Warszawa,36.66,2,pierwotny,blok,3.0,4.0,2019.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/nowe-odbior-w-tym-roku-ID3qkFe.html#19c7728aff,290.0,354000.0
 Wola,50.0,2,pierwotny,blok,6.0,8.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowy-etap-juz-w-sprzedazymetro-ID3qm0v.html#19c7728aff,300.0,497000.0
 Wola,85.36,3,wtórny,,9.0,22.0,2010.0,do zamieszkania,pełna własność,,inne,https://www.otodom.pl/oferta/ekskluzywny-apartament-black-white-ID3pMcM.html#19c7728aff,1.0,1690000.0
 Śródmieście,34.3,2,wtórny,kamienica,2.0,2.0,1.0,,pełna własność,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-w-wyjatkowej-okolicy-starego-miasta-ID3qAMk.html#19c7728aff,,480000.0
 Wola,47.0,2,pierwotny,blok,6.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowa-inwestycjasuper-ceny-ID3qJwa.html#19c7728aff,360.0,487000.0
 Wilanów,75.0,3,wtórny,apartamentowiec,0.0,4.0,2007.0,,,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-75-m-warszawa-ID3rciM.html#19c7728aff,,960000.0
 Śródmieście,103.7,4,wtórny,kamienica,3.0,3.0,1850.0,do zamieszkania,pełna własność,drewniane,gazowe,https://www.otodom.pl/oferta/apartament-na-poddaszu-z-nie-powtarzalnym-widokiem-ID3qQZa.html#19c7728aff,,2050000.0
 Wola,47.0,2,pierwotny,blok,7.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-ul-kasprzaka-sprawdzony-deweloper-duzy-wybor-ID3qJDe.html#19c7728aff,250.0,490000.0
 Śródmieście,83.5,3,wtórny,apartamentowiec,4.0,5.0,1998.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/al-ujazdowskie-ciche-garaz-przy-parku-ID3rbtS.html#19c7728aff,,1495000.0
 Wola,47.0,2,pierwotny,blok,7.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowy-etap-juz-w-sprzedysuper-ceny-ID3qJxS.html#19c7728aff,360.0,470000.0
 Wola,27.0,1,pierwotny,blok,3.0,12.0,2019.0,do wykończenia,,,,https://www.otodom.pl/oferta/wola-1-pokojowe-od-280-tys-metro-ulkasprzaka-ID3qJyo.html#19c7728aff,400.0,330000.0
 Wola,63.0,3,pierwotny,blok,6.0,8.0,2019.0,do wykończenia,,drewniane,,https://www.otodom.pl/oferta/wolanowa-inwestycjasuper-cenymetro-ID3qdRK.html#19c7728aff,500.0,610000.0
 Wola,57.0,3,pierwotny,blok,4.0,8.0,2019.0,,,drewniane,miejskie,https://www.otodom.pl/oferta/tylko-8100-pln-za-m2nowe-mieszkania-na-woli-metro-ID3qdUI.html#19c7728aff,550.0,590000.0
 Białołęka,42.0,2,pierwotny,blok,1.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/najnizsze-ceny-na-bialolece-pewny-deweloper-ID3qdyY.html#19c7728aff,280.0,325000.0
 Śródmieście,113.0,4,wtórny,apartamentowiec,1.0,3.0,2001.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/przy-rynku-nowego-miasta-winda-taras-garaz-ID3rroE.html#19c7728aff,,1580000.0
 Wola,76.76,4,pierwotny,apartamentowiec,8.0,,,do wykończenia,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/bezposredniokup-nowe-mieszkanie-od-dewelopera-ID3rIfe.html#19c7728aff,,706192.0
 Białołęka,31.0,2,pierwotny,blok,2.0,5.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/nowe-mieszkania-wola-tarchomin-bialoleka-gotowe-ID3qeje.html#19c7728aff,,222700.0
 Białołęka,58.0,3,pierwotny,blok,2.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ul-glebocka3-pokojowe-z-balkonem-lub-ogrodem-ID3o5oQ.html#19c7728aff,,464000.0
 Wola,85.62,4,pierwotny,apartamentowiec,7.0,,,do wykończenia,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/super-cenasuper-apartamentbez-prowizji-ID3rIfm.html#19c7728aff,,736332.0
 Wola,27.0,1,pierwotny,blok,3.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-sprawdzony-deweloper-blisko-metrakasprzaka-ID3rKBV.html#19c7728aff,250.0,337000.0
 Śródmieście,150.0,4,wtórny,,1.0,4.0,2000.0,,,,,https://www.otodom.pl/oferta/atrakcyjny-apartament-w-centrum-ID3t8YY.html#19c7728aff,,2350000.0
 Ochota,57.0,2,wtórny,,2.0,3.0,1956.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-57-m-warszawa-ID3spYM.html#19c7728aff,,530000.0
 Mokotów,160.0,4,wtórny,,1.0,3.0,2006.0,,,,,https://www.otodom.pl/oferta/wyjatkowy-apartament-na-mokotowie-ID3rSGU.html#19c7728aff,,2230000.0
 Wesoła,70.4,3,wtórny,blok,3.0,3.0,2005.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-70-40-m-warszawa-ID3sVlq.html#19c7728aff,730.0,510000.0
 Białołęka,72.0,3,wtórny,apartamentowiec,2.0,2.0,2012.0,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-72-m-warszawa-ID3ssre.html#19c7728aff,,510000.0
 Białołęka,33.0,1,pierwotny,blok,1.0,2.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/kawalerka-lub-2pokoje-balkon-najtaniej-warszawa-ID34FCc.html#19c7728aff,196.0,260000.0
 Śródmieście,50.0,1,wtórny,,3.0,3.0,,,,,,https://www.otodom.pl/oferta/freta-strych-do-adaptacji-ID3tyTa.html#19c7728aff,,180000.0
 Mokotów,32.46,2,wtórny,blok,1.0,7.0,2019.0,,pełna własność,,,https://www.otodom.pl/oferta/warszawa-mokotow-2pokoje-32m2-okazja-ID3txiM.html#19c7728aff,,359000.0
 Białołęka,58.17,3,pierwotny,blok,0.0,2.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ogrod-140m2-3-pok-dwa-tarasy-232tys-w-mdm-ID3rh2g.html#19c7728aff,,331569.0
 Centrum,94.0,3,wtórny,blok,1.0,5.0,1998.0,,,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-94-m-warszawa-ID3tfNC.html#19c7728aff,,970000.0
 Bielany,64.8,3,wtórny,blok,10.0,10.0,1975.0,,spółdzielcze wł. z KW,,,https://www.otodom.pl/oferta/trzypokojowe-mieszkanie-na-zielonej-chomiczowce-ID3tCY0.html#19c7728aff,,430000.0
 Bielany,67.59,3,wtórny,blok,3.0,6.0,2003.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/duze-funkcjonalne-3-pokoje-z-balkonem-bielany-ID3tzSQ.html#19c7728aff,970.0,700000.0
 Białołęka,45.0,2,pierwotny,blok,2.0,3.0,2019.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/mieszkania-wola-tarchomin-bialoleka-ID3qdGv.html#19c7728aff,300.0,326000.0
 Centrum,86.0,3,wtórny,apartamentowiec,5.0,11.0,2006.0,,,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-86-m-warszawa-ID3tfNG.html#19c7728aff,,1460000.0
 Białołęka,50.89,2,pierwotny,blok,0.0,2.0,2017.0,do wykończenia,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/mdm-ostatnia-okazja-2-pokoje-z-pieknym-ogrodem-ID3u22g.html#19c7728aff,300.0,213074.0
 Śródmieście,60.0,3,wtórny,kamienica,2.0,4.0,1895.0,do zamieszkania,pełna własność,drewniane,,https://www.otodom.pl/oferta/piekna-koszykowa-ciche-kamienica-po-rewitalizacji-ID3u0OE.html#19c7728aff,380.0,749000.0
 Śródmieście,185.7,6,wtórny,apartamentowiec,5.0,5.0,2001.0,,pełna własność,,,https://www.otodom.pl/oferta/reprezentacyjny-apartament-prestizowa-inwestycja-ID3u8jO.html#19c7728aff,,2390000.0
 Wola,120.0,3,wtórny,apartamentowiec,2.0,11.0,2000.0,,pełna własność,,,https://www.otodom.pl/oferta/wyjatkowy-3pokojowy-apartament-w-centrum-ID3u89K.html#19c7728aff,,1039000.0
 Ochota,100.05,3,wtórny,blok,3.0,3.0,2000.0,,pełna własność,,,https://www.otodom.pl/oferta/jasne-mieszkanie-ochota-przy-ul-wlodarzewskiej-ID3u8pK.html#19c7728aff,,930000.0
 Śródmieście,37.0,1,wtórny,kamienica,1.0,4.0,1950.0,,spółdzielcze własnościowe,,,https://www.otodom.pl/oferta/ul-gorskiego-srodmiescie-nowy-swiat-36m2-ID3u8s4.html#19c7728aff,,599000.0
 Śródmieście,140.0,4,wtórny,kamienica,3.0,3.0,1826.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/ladna-kamienica-z-1826-r-przy-ogrodzie-saskim-ID3u2KI.html#19c7728aff,,990000.0
 Śródmieście,63.0,2,wtórny,apartamentowiec,2.0,3.0,2000.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-nowe-miasto-stare-miasto-ID3u8ac.html#19c7728aff,,990000.0
 Ochota,226.5,7,wtórny,apartamentowiec,1.0,5.0,2009.0,,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-226-5m2-w-triton-parku-pod-booking-ID3u8QA.html#19c7728aff,,2180000.0
 Śródmieście,73.0,2,wtórny,blok,5.0,7.0,1960.0,,spółdzielcze wł. z KW,,,https://www.otodom.pl/oferta/tamka-vpietro-wykonczone-winda-garaz-polecam-ID3u8sI.html#19c7728aff,,1030000.0
 Wola,21.0,1,pierwotny,apartamentowiec,7.0,27.0,2019.0,do zamieszkania,,drewniane,miejskie,https://www.otodom.pl/oferta/wolakasprzaka1-pokoj-od-220-tys-klimatyzacja-ID3w8XG.html#b3184d500c,10.0,221000.0
 Białołęka,42.0,2,pierwotny,blok,2.0,2.0,2018.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/2-pok-ul-ostrodzka-2-autobusy-do-metra-pilnie-ID3ty76.html#b3184d500c,210.0,325000.0
 Wola,44.0,2,pierwotny,blok,6.0,11.0,2019.0,do zamieszkania,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-sprawdzony-deweloper-blisko-metragotowe-ID3w8VQ.html#b3184d500c,10.0,480000.0
 Wola,28.0,2,pierwotny,blok,0.0,12.0,2019.0,do zamieszkania,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-metro1pokojul-kasprzaka-wysoki-standard-ID3tieI.html#b3184d500c,320.0,397000.0
 Wilanów,72.5,3,pierwotny,,1.0,2.0,2017.0,,,,miejskie,https://www.otodom.pl/oferta/mieszkanie-warszawa-wilanow-zawady-ID3wJmQ.html#b3184d500c,,684000.0
 Śródmieście,104.0,4,wtórny,kamienica,0.0,5.0,,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/apartament-w-stylowej-kamienicy-przy-ul-okolnik-ID3wqiQ.html#b3184d500c,,1950000.0
 Mokotów,45.5,2,wtórny,apartamentowiec,3.0,6.0,2017.0,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/swiezo-wykonczone-2-pokoje-na-nowym-osiedlu-ID3wS6Q.html#b3184d500c,320.0,550000.0
 Wola,65.0,3,pierwotny,blok,6.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/tylko-8100-pln-za-m2nowe-mieszkania-na-woli-ID3tidq.html#b3184d500c,450.0,584000.0
 Wola,43.0,2,pierwotny,,3.0,12.0,2019.0,,,,miejskie,https://www.otodom.pl/oferta/wolasprawdzony-deweloper-blisko-metra-klimatyzacja-ID3cU2u.html#b3184d500c,,460000.0
 Białołęka,54.0,3,pierwotny,blok,1.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/najnizsze-ceny-na-bialolece-pewny-deweloper-gotowe-ID3thU4.html#b3184d500c,350.0,386000.0
 Śródmieście,210.0,4,wtórny,apartamentowiec,4.0,5.0,2013.0,,,,,https://www.otodom.pl/oferta/luksusowy-apartament-210m2-na-prestizowym-powislu-ID3wLcA.html#b3184d500c,,7000000.0
 Białołęka,40.0,2,pierwotny,blok,2.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkania-wola-tarchomin-bialoleka-i-pruszkow-ID3thQ0.html#b3184d500c,280.0,330000.0
 Białołęka,40.0,2,pierwotny,blok,2.0,2.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ul-glebocka2-pokojowe-z-balkonem-lub-ogrodem-ID3qdEU.html#b3184d500c,300.0,330000.0
 Białołęka,54.0,3,pierwotny,blok,1.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/nowe-mieszkanie-3-pokojowe-z-2-balkonami-12m2-ID3ob60.html#b3184d500c,,386000.0
 Białołęka,53.0,3,pierwotny,blok,1.0,3.0,2019.0,,,plastikowe,,https://www.otodom.pl/oferta/mieszkania-wola-tarchomin-bialoleka-ID3qefm.html#b3184d500c,400.0,357000.0
 Wola,46.0,2,pierwotny,blok,5.0,8.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowa-inwestycjasuper-cenymetro-ID3qdNO.html#b3184d500c,400.0,485000.0
 Białołęka,54.0,3,pierwotny,blok,0.0,3.0,2019.0,,,,,https://www.otodom.pl/oferta/gotowe-3pok-ul-ostrodzka-2autobusy-do-metra-pilnie-ID3cU7y.html#b3184d500c,350.0,386000.0
 Wola,20.0,1,pierwotny,blok,9.0,27.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/apartamenty-z-klimatyzacja-wola-ul-kasprzaka-metro-ID3ti1S.html#b3184d500c,210.0,221000.0
 Wola,60.0,2,wtórny,apartamentowiec,2.0,6.0,2017.0,,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/kup-bez-pcc-ID3v4QA.html#b3184d500c,450.0,714000.0
 Białołęka,54.0,3,pierwotny,blok,1.0,3.0,2017.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/gotowe-3-pok-dwa-balkony-ul-ostrodzka-pilnie-ID3qdII.html#b3184d500c,350.0,386000.0
 Wola,155.0,4,wtórny,apartamentowiec,8.0,13.0,2001.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-155-m-warszawa-ID3wYao.html#b3184d500c,1.0,1699000.0
 Ochota,112.5,3,wtórny,apartamentowiec,4.0,9.0,1995.0,,,,,https://www.otodom.pl/oferta/przestronne-mieszkanie-z-garazem-stara-ochota-ID3vlBO.html#b3184d500c,,880000.0
 Wola,77.0,4,pierwotny,blok,7.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-tylko-8100-pln-za-m2nowe-mieszkania-metro-ID3vwED.html#b3184d500c,540.0,690000.0
 Wola,44.0,2,pierwotny,blok,7.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-apartamenty-z-widokiem-na-centrum-warszawy-ID3vwGb.html#b3184d500c,290.0,453000.0
 Wola,46.0,2,pierwotny,blok,7.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowy-etap-juz-w-sprzedazymetro-ID3vwEj.html#b3184d500c,360.0,470000.0
 Wola,21.0,1,pierwotny,blok,3.0,11.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolakasprzaka1-pokoj-od-221-tys-klimatyzacja-ID3vwFW.html#b3184d500c,800.0,221000.0
 Śródmieście,53.0,2,wtórny,,8.0,44.0,2015.0,,,,,https://www.otodom.pl/oferta/prestizowy-apartament-53-m2-cosmopolitan-ID3vmvz.html#b3184d500c,,1800000.0
 Wola,87.0,4,pierwotny,blok,7.0,12.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-4-pokoje-kasprzakametro-pilnie-ID3vwDt.html#b3184d500c,350.0,770000.0
 Śródmieście,80.0,3,wtórny,kamienica,2.0,5.0,1923.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/warszawa-powisle-3-pok-80-m2-kamienica-park-ID3vAE3.html#b3184d500c,,1250000.0
 Białołęka,54.0,3,pierwotny,blok,0.0,2.0,2018.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/gotowe-najnizsze-ceny-na-bialolece-pewny-deweloper-ID3vwJZ.html#b3184d500c,300.0,386000.0
 mazowieckie,40.6,2,pierwotny,,1.0,,,,,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-40-60-m-warszawa-ID3vUs3.html#b3184d500c,,276000.0
 Mokotów,93.5,3,wtórny,kamienica,0.0,4.0,1952.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-93-50-m-warszawa-ID2OfkH.html#b3184d500c,600.0,950000.0
 Wola,20.0,1,pierwotny,blok,7.0,11.0,2019.0,do zamieszkania,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-sprawdzony-deweloper-blisko-metra-ID3vFnp.html#b3184d500c,220.0,221000.0
 Wola,79.86,3,pierwotny,apartamentowiec,11.0,,,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/zamieszkaj-w-chmurach-na-23-pietrze-panorama-w-wy-ID3vWn9.html#b3184d500c,,1157970.0
 Wola,63.0,3,pierwotny,blok,7.0,11.0,2019.0,do wykończenia,,plastikowe,miejskie,https://www.otodom.pl/oferta/wola-sprawdzony-deweloper-ceny-od-8100-pln-za-m2-ID3vDAT.html#b3184d500c,500.0,520000.0
 Białołęka,53.0,3,pierwotny,blok,2.0,3.0,2018.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/nowe-mieszkania-wola-tarchomin-bialoleka-gotowe-ID3xKNF.html#b3184d500c,370.0,386000.0
 Śródmieście,115.0,4,wtórny,apartamentowiec,8.0,11.0,2008.0,,,,,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-z-widokiem-ID3xyIr.html#b3184d500c,,1890000.0
 Mokotów,157.0,5,wtórny,apartamentowiec,6.0,6.0,2014.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/przy-pory-apartament-trzy-tarasy-ID3xCGH.html#b3184d500c,,1790000.0
 Praga-Południe,148.09,5,pierwotny,apartamentowiec,2.0,2.0,2018.0,do wykończenia,pełna własność,drewniane,inne,https://www.otodom.pl/oferta/apartamenty-finlandzka-4-ID3y7eL.html#b3184d500c,,3220957.5
 Wola,77.0,4,pierwotny,blok,3.0,9.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wola-sprawdzony-deweloper-ceny-od-8100-za-m2-metro-ID3xJp5.html#b3184d500c,400.0,690000.0
 Praga-Południe,46.46,2,pierwotny,apartamentowiec,1.0,2.0,2018.0,do wykończenia,pełna własność,drewniane,inne,https://www.otodom.pl/oferta/apartamenty-finlandzka-4-ID3y7eD.html#b3184d500c,,880417.0
 Praga-Południe,46.46,2,pierwotny,apartamentowiec,2.0,2.0,2018.0,do wykończenia,pełna własność,drewniane,inne,https://www.otodom.pl/oferta/apartamenty-finlandzka-4-ID3y7eH.html#b3184d500c,,880417.0
 Mokotów,82.0,3,wtórny,apartamentowiec,5.0,7.0,2007.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/super-lokalizacja-stary-mokotow-garaz-portier-ID3xNMw.html#b3184d500c,800.0,980000.0
 Śródmieście,51.0,2,wtórny,kamienica,2.0,4.0,1956.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/przy-elektoralnej-ciche-po-remoncie-ID3y1un.html#b3184d500c,420.0,625000.0
 Praga-Południe,84.0,3,wtórny,kamienica,,3.0,1992.0,,,drewniane,,https://www.otodom.pl/oferta/mieszkanie-84-m-warszawa-ID3y267.html#b3184d500c,,909000.0
 mazowieckie,42.0,2,pierwotny,blok,1.0,2.0,2017.0,do wykończenia,,plastikowe,,https://www.otodom.pl/oferta/extra-2-pokoje-zielona-dolina-ID3q54v.html#b3184d500c,,248000.0
 Śródmieście,89.93,4,wtórny,kamienica,3.0,3.0,1824.0,,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/apartament-w-centrum-po-podlodze-140m2-ID3hask.html#b3184d500c,758.0,990000.0
 Centrum,84.0,3,wtórny,apartamentowiec,5.0,10.0,2004.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/grzybowska-ID3yN5J.html#b3184d500c,,1260000.0
 Praga-Południe,80.0,4,wtórny,blok,2.0,4.0,1998.0,do zamieszkania,spółdzielcze własnościowe,drewniane,miejskie,https://www.otodom.pl/oferta/mieszkanie-80-m-warszawa-ID3yuTN.html#b3184d500c,500.0,580000.0
 Ochota,110.0,4,wtórny,kamienica,4.0,4.0,1932.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/opaczewska-stara-ochota-ID3ysVz.html#b3184d500c,,926000.0
 Wola,27.0,1,pierwotny,blok,7.0,11.0,2019.0,do wykończenia,,drewniane,miejskie,https://www.otodom.pl/oferta/wolanowy-etap-juz-w-sprzedazymetro-ID3vDBW.html#b3184d500c,250.0,320000.0
 Śródmieście,125.0,3,wtórny,apartamentowiec,3.0,7.0,2001.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/luksusowy-apartament-w-sercu-warszawy-oferta-dla-ID3yO8r.html#b3184d500c,,1530000.0
 Śródmieście,45.63,2,wtórny,kamienica,5.0,6.0,1912.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-w-kamienicy-z-widokiem-na-park-ID3yppR.html#b3184d500c,,990000.0
 Śródmieście,95.0,3,wtórny,kamienica,4.0,4.0,1912.0,do wykończenia,pełna własność,,,https://www.otodom.pl/oferta/okolice-varso-tower-kamienica-z-1912-r-z-winda-ID3yleP.html#b3184d500c,450.0,1330000.0
 Śródmieście,62.0,2,wtórny,kamienica,4.0,5.0,1912.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/nowy-swiat-okolica-przedwojenna-kamienica-ID3yQNR.html#b3184d500c,,744000.0
 Śródmieście,87.0,2,wtórny,kamienica,2.0,,1938.0,,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-87-m-warszawa-ID3zJcz.html#4b471fc499,,1305000.0
 Praga-Południe,130.0,3,wtórny,apartamentowiec,0.0,3.0,2009.0,,,drewniane,,https://www.otodom.pl/oferta/mieszkanie-130-m-warszawa-ID3zJ7J.html#4b471fc499,,2400000.0
